label,prompt
,Why can't I sleep at night?
,I got 99 problems but ______ ain't one.
,What's a girl's best friend?
,What's that smell?
,This is the way the world ends / Not with a bang but with ______.
,What is Batman's guilty pleasure?
,TSA guidelines now prohibit ______ on airplanes.
,What ended my last relationship?
,MTV's new reality show features eight washed-up celebrities living with ______.
,I drink to forget ______.
,"I'm sorry, Professor, but I couldn't complete my homework because of ______."
,Alternative medicine is now embracing the curative powers of ______.
,What's that sound?
,What's the next Happy Meal® toy?
,It's a pity that kids these days are all getting involved with ______.
,"In the new Disney Channel Original Movie, Hannah Montana struggles with ______ for the first time."
,______. That's how I want to die.
,What does Dick Cheney prefer?
,What's the most emo?
,"Instead of coal, Santa now gives the bad children ______."
,Next from J.K. Rowling: Harry Potter and the Chamber of ______.
,"A romantic, candlelit dinner would be incomplete without ______."
,White people like ______.
,______. Betcha can't have just one!
,War!                         What is it good for?
,BILLY MAYS HERE FOR ______.
,"______. High five, bro."
,"During sex, I like to think about ______."
,What did I bring back from Mexico?
,What are my parents hiding from me?
,What will always get you laid?
,"What would grandma find disturbing, yet oddly charming?"
,What did the U.S. airdrop to the children of Afghanistan?
,What helps Obama unwind?
,What's there a ton of in heaven?
,Major League Baseball has banned ______ for giving players an unfair advantage.
,"When I am a billionaire, I shall erect a 50-foot statue to commemorate ______."
,What's the new fad diet?
,"When I am the President of the United States, I will create the Department of ______."
,______. It's a trap!
,How am I maintaining my relationship status?
,What will I bring back in time to convince people that I am a powerful wizard?
,"While the United States raced the Soviet Union to the moon, the Mexican government funneled millions of pesos into research on ______."
,"Coming to Broadway this season, ______: The Musical."
,What's my secret power?
,What gives me uncontrollable gas?
,"But before I kill you, Mr. Bond, I must show you ______."
,What never fails to liven up the party?
,What am I giving up for Lent?
,What do old people smell like? 
,The class field trip was completely ruined by ______.
,"When Pharaoh remained unmoved, Moses called down a plague of ______."
,"I do not know with which weapons World War III will be fought, but World War IV will be fought with ______."
,What's Teach for America using to inspire inner city students to succeed?
,"In Michael Jackson's final moments, he thought about ______."
,Why do I hurt all over?
,Studies show that lab rats navigate mazes 50% faster after being exposed to ______.
,Why am I sticky?
,What's my anti-drug?
,And the Academy Award for ______ goes to ______.
,"For my next trick, I will pull ______ out of ______."
,______: Good to the last drop.
,What did Vin Diesel eat for dinner?
,"______: kid-tested, mother-approved."
,What gets better with age?
,I never truly understood ______ until I encountered ______.
,Rumor has it that Vladimir Putin's favorite delicacy is ______ stuffed with ______.
,"Lifetime® presents ______, the story of ______."
,Make a haiku.
,"In M. Night Shyamalan's new movie, Bruce Willis discovers that ______ had really been ______ all along."
,______ is a slippery slope that leads to ______.
,"In a world ravaged by ______, our only solace is ______."
,"That's right, I killed ______. How, you ask? ______."
,"When I was tripping on acid, ______ turned into ______."
,______ + ______ = ______.
,What's the next superhero/sidekick duo?
,"Dear Abby,                         I'm having some trouble with ______ and would like your advice."
,"After the earthquake, Sean Penn brought ______ to the people of Haiti."
,"In L.A. County Jail, word is you can trade 200 cigarettes for ______."
,Maybe she's born with it. Maybe it's ______.
,Life for American Indians was forever changed when the White Man introduced them to ______.
,"Next on ESPN2, the World Series of ______."
